Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S155715791,Snow Goose,Anser caerulescens,257,1,US-CA,Monterey,L351478,Pacific Grove--El Carmelo Cemetery,36.632002,-121.931607,2023-12-02,01:25 PM,eBird - Casual Observation,,0,,,2,,Juvenile Snow Goose with flock of Canada Geese,Spotted while driving by on Asilomar Ave,611861332 611861333
S160683383,Snow Goose,Anser caerulescens,257,1,US-CA,Santa Barbara,L820867,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.4198459,-119.8792197,2024-02-04,03:47 PM,eBird - Traveling Count,58,1,2.414,,1,,Foraging with Canada Geese near the Mesa trailhead,"Stormy weather--rainy and windy. Walked one-way from the NCOS parking lot to the Dev slough trailhead, then looped around to the Dev creek crossing (which was flooded)"
S164817761,Snow Goose,Anser caerulescens,257,1,US-CA,Santa Barbara,L820867,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.4198459,-119.8792197,2024-03-07,06:45 AM,eBird - Traveling Count,88,1,1.448,,4,,,Bird walk with the Mermaids
S167096927,Snow Goose,Anser caerulescens,257,X,US-NM,Socorro,L127945,Bosque del Apache NWR,33.802,-106.88,2024-03-24,10:27 AM,eBird - Traveling Count,73,1,19.312,,2,,,Drove the S loop and then N loop
S49873491,Snow Goose,Anser caerulescens,257,X,US-WA,Thurston,L282253,Billy Frank Jr. Nisqually NWR,47.0812514,-122.7180576,2018-11-11,03:45 PM,eBird - Traveling Count,120,1,3.219,,2
S130001945,Greater White-fronted Goose,Anser albifrons,276,X,US-CA,Santa Barbara,L272840,Andree Clark Bird Refuge,34.4215353,-119.6572856,2023-03-02,09:28 AM,eBird - Traveling Count,106,1,2.382,,1,,,Walk with Ava
S100397712,Greater White-fronted Goose,Anser albifrons,276,X,US-CA,Santa Barbara,L336013,Lake Los Carneros Park,34.44322,-119.84975,2021-10-04,09:00 AM,eBird - Traveling Count,210,1,2.092,,13,,,EEMB 113L field trip; walked from the parking lot to old dam and back
S164817761,Greater White-fronted Goose,Anser albifrons,276,3,US-CA,Santa Barbara,L820867,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.4198459,-119.8792197,2024-03-07,06:45 AM,eBird - Traveling Count,88,1,1.448,,4,,"3 GWfG (orange legs, white foreheads, gray-brown body & neck) foraging off to the side next to a flock of CaGo (SnGo & CacG also nearby)",Bird walk with the Mermaids,616035509
S148355199,Greater White-fronted Goose,Anser albifrons,276,X,US-CA,Santa Barbara,L654260,UCSB--campus,34.4148759,-119.8450041,2017-10-03,08:15 AM,eBird - Traveling Count,210,1,4.023,,12,,,EEMB 113L field trip
S206351462,Greater White-fronted Goose,Anser albifrons,276,28,US-WA,Thurston,L282253,Billy Frank Jr. Nisqually NWR,47.0812514,-122.7180576,2024-12-23,10:22 AM,eBird - Traveling Count,197,1,5.456,,3,,Flock of only white fronts circled overhead and then landed,"Clear sunny morning gave way to chilly clouds, but no rain. Saw 3 deer. Also sea lion and harbor seal on the river eating salmon.",629421360 629421361 629421362 629421364 629421369
S205567317,Greater White-fronted Goose,Anser albifrons,276,1,US-WA,Thurston,L2925244,"Yauger Park, Olympia",47.0419798,-122.9415607,2024-12-15,08:38 AM,eBird - Traveling Count,50,1,1.355,,4
S181322575,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),300,1,US-WA,King,L195645,Seward Park,47.5538089,-122.2501301,2024-06-13,08:19 PM,eBird - Traveling Count,37,1,1.883,,1,,,,620560385
S194587172,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),300,1,US-WA,King,L195645,Seward Park,47.5538089,-122.2501301,2024-09-09,04:12 PM,eBird - Traveling Count,28,1,.966,,1,,,Walk with Caroline and Mike!
S137581471,Brant,Branta bernicla,302,X,US-CA,Santa Barbara,L16871073,"Coal Oil Point Reserve (if possible, use more specific hotspot)",34.4151882,-119.8799569,2023-05-13,02:30 PM,eBird - Traveling Count,180,1,2.414,,5,,,"Bird walk with Ava, Leo, Christie, & Jessie. Out-and-back route: Took the Marsh trail from the NCOS parking lot to COPR, then followed the Pond trail past Dune Swale Pond to the Snowy Plover habitat."
S200745944,Cackling Goose,Branta hutchinsii,319,X,US-WA,Clark,L592967,Ridgefield NWR--River 'S' Unit,45.7990694,-122.7490082,2024-10-27,03:00 PM,eBird - Traveling Count,165,1,6.759,,1,,,Drove the auto tour loop and walked the short trail to the photo blind,625589196 625589925
S160683383,Cackling Goose,Branta hutchinsii,319,4,US-CA,Santa Barbara,L820867,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.4198459,-119.8792197,2024-02-04,03:47 PM,eBird - Traveling Count,58,1,2.414,,1,,Foraging with Canada Geese near the Mesa trailhead,"Stormy weather--rainy and windy. Walked one-way from the NCOS parking lot to the Dev slough trailhead, then looped around to the Dev creek crossing (which was flooded)",614427902
S164817761,Cackling Goose,Branta hutchinsii,319,4,US-CA,Santa Barbara,L820867,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.4198459,-119.8792197,2024-03-07,06:45 AM,eBird - Traveling Count,88,1,1.448,,4,,,Bird walk with the Mermaids
S49873491,Cackling Goose,Branta hutchinsii,319,X,US-WA,Thurston,L282253,Billy Frank Jr. Nisqually NWR,47.0812514,-122.7180576,2018-11-11,03:45 PM,eBird - Traveling Count,120,1,3.219,,2
